1 

         1785813871 function calls (1686535384 primitive calls) in 538.854 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
115951161   43.594    0.000   59.688    0.000 graph.py:666(nodes)
 57767204   41.474    0.000  110.338    0.000 connected.py:185(_plain_bfs)
198590850/99314466   38.521    0.000   69.357    0.000 encoder.py:333(_iterencode_dict)
 62405827   36.763    0.000   45.238    0.000 coreviews.py:278(__getitem__)
 60546396   34.275    0.000  127.553    0.000 GerrymanderingMCMC.py:173(<lambda>)
115654423   25.350    0.000   68.339    0.000 reportviews.py:177(__getitem__)
      753   23.835    0.032  121.951    0.162 __init__.py:120(dump)
 57767204   21.680    0.000   38.766    0.000 {method 'update' of 'set' objects}
 55168195   19.377    0.000   25.706    0.000 coreviews.py:80(__getitem__)
     7700   18.447    0.002   45.817    0.006 GerrymanderingMCMC.py:158(<listcomp>)
 99276144   18.294    0.000   55.162    0.000 encoder.py:277(_iterencode_list)
115951161   16.095    0.000   16.095    0.000 reportviews.py:167(__init__)
 99313714   15.385    0.000   15.385    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      961   15.282    0.016   25.177    0.026 graph.py:894(add_edges_from)
 61874329   14.726    0.000   14.726    0.000 coreviews.py:275(<genexpr>)
   525492   14.607    0.000  158.025    0.000 {built-in method _functools.reduce}
 99314466   13.366    0.000   82.723    0.000 encoder.py:413(_iterencode)
  2801479   11.392    0.000  123.934    0.000 connected.py:26(connected_components)
 55168195   11.343    0.000   17.108    0.000 coreviews.py:50(__iter__)
 67100703    7.991    0.000    7.991    0.000 filters.py:58(__call__)
 81176768    7.136    0.000    7.148    0.000 {built-in method builtins.isinstance}
 57908830    6.755    0.000    6.755    0.000 coreviews.py:44(__init__)
 55835874    6.036    0.000    7.006    0.000 {built-in method builtins.iter}
 55103874    5.033    0.000    5.033    0.000 {method 'add' of 'set' objects}
      250    4.582    0.018  184.963    0.740 GerrymanderingMCMC.py:365(perform_calculations)
 10494050    4.360    0.000    5.547    0.000 graph.py:1514(<genexpr>)
      961    4.196    0.004    7.611    0.008 graph.py:523(add_nodes_from)
 26537455    4.150    0.000    4.150    0.000 {method 'update' of 'dict' objects}
 34059393    4.148    0.000    4.148    0.000 {built-in method _json.encode_basestring_ascii}
 30877654    3.734    0.000    3.734    0.000 graph.py:1872(bunch_iter)
      250    3.320    0.013    6.036    0.024 node_link.py:98(<listcomp>)
  5296842    3.098    0.000    4.156    0.000 coreviews.py:322(new_node_ok)
   264364    2.996    0.000    6.729    0.000 filters.py:55(__init__)
      250    2.894    0.012    4.072    0.016 node_link.py:90(<listcomp>)
  4288627    2.713    0.000    7.650    0.000 reportviews.py:717(__iter__)
 14787133    1.843    0.000    1.843    0.000 {method 'copy' of 'dict' objects}
   131373    1.830    0.000  295.916    0.002 GerrymanderingMCMC.py:176(__is_valid_district_plan)
      350    1.763    0.005  352.191    1.006 GerrymanderingMCMC.py:210(recombination_of_districts)
  1246220    1.518    0.000    1.669    0.000 coreviews.py:269(__iter__)
 11552660    1.336    0.000    1.336    0.000 {method 'get' of 'dict' objects}
  3957195    1.329    0.000    4.164    0.000 coreviews.py:276(<genexpr>)
        1    1.181    1.181  538.449  538.449 GerrymanderingMCMC.py:345(generate_alternative_plans)
