37 

         1361254557 function calls (1313204074 primitive calls) in 434.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 83068136   48.877    0.000   59.417    0.000 coreviews.py:278(__getitem__)
 81299798   45.230    0.000  167.754    0.000 GerrymanderingMCMC.py:173(<lambda>)
 97759553   37.497    0.000   51.133    0.000 graph.py:666(nodes)
 43788387   31.167    0.000   84.117    0.000 connected.py:185(_plain_bfs)
 97514232   24.679    0.000   81.973    0.000 reportviews.py:177(__getitem__)
 82522645   20.090    0.000   20.090    0.000 coreviews.py:275(<genexpr>)
   441988   19.616    0.000  208.395    0.000 {built-in method _functools.reduce}
96120806/48072430   19.206    0.000   34.707    0.000 encoder.py:333(_iterencode_dict)
 43788387   16.676    0.000   29.810    0.000 {method 'update' of 'set' objects}
 43215858   15.228    0.000   19.764    0.000 coreviews.py:80(__getitem__)
 97759553   13.636    0.000   13.636    0.000 reportviews.py:167(__init__)
      753   11.936    0.016   60.759    0.081 __init__.py:120(dump)
 87481940   10.085    0.000   10.085    0.000 filters.py:58(__call__)
 48048500    9.307    0.000   27.510    0.000 encoder.py:277(_iterencode_list)
 43215858    8.548    0.000   13.154    0.000 coreviews.py:50(__iter__)
      913    7.919    0.009   13.110    0.014 graph.py:894(add_edges_from)
   747631    7.724    0.000   92.920    0.000 connected.py:26(connected_components)
 48071678    7.382    0.000    7.382    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 48072430    6.728    0.000   41.435    0.000 encoder.py:413(_iterencode)
 41243452    4.852    0.000    4.852    0.000 graph.py:1872(bunch_iter)
 43775663    4.829    0.000    5.591    0.000 {built-in method builtins.iter}
 43916993    4.650    0.000    4.650    0.000 coreviews.py:44(__init__)
     4200    4.415    0.001   11.390    0.003 GerrymanderingMCMC.py:158(<listcomp>)
 43154570    3.987    0.000    3.987    0.000 {method 'add' of 'set' objects}
   222648    3.735    0.000    8.587    0.000 filters.py:55(__init__)
 39551906    3.470    0.000    3.492    0.000 {built-in method builtins.isinstance}
  5049972    2.902    0.000    3.902    0.000 coreviews.py:322(new_node_ok)
  5337150    2.275    0.000    2.915    0.000 graph.py:1514(<genexpr>)
      250    2.173    0.009   81.247    0.325 GerrymanderingMCMC.py:365(perform_calculations)
 13809894    2.141    0.000    2.141    0.000 {method 'update' of 'dict' objects}
      913    1.994    0.002    3.724    0.004 graph.py:523(add_nodes_from)
 16537120    1.978    0.000    1.978    0.000 {built-in method _json.encode_basestring_ascii}
      250    1.789    0.007    3.137    0.013 node_link.py:98(<listcomp>)
      350    1.608    0.005  352.126    1.006 GerrymanderingMCMC.py:210(recombination_of_districts)
  2428331    1.571    0.000    5.980    0.000 reportviews.py:717(__iter__)
   110497    1.349    0.000  315.791    0.003 GerrymanderingMCMC.py:176(__is_valid_district_plan)
  1055907    1.230    0.000    1.359    0.000 coreviews.py:269(__iter__)
      250    1.230    0.005    1.741    0.007 node_link.py:90(<listcomp>)
  3739410    1.221    0.000    3.887    0.000 coreviews.py:276(<genexpr>)
      755    1.037    0.001    1.043    0.001 {built-in method io.open}
  1858461    0.995    0.000    4.937    0.000 _collections_abc.py:742(__iter__)
   928386    0.983    0.000    1.415    0.000 coreviews.py:320(__getitem__)
   222648    0.951    0.000    2.120    0.000 graphviews.py:80(subgraph_view)
  7405734    0.911    0.000    0.911    0.000 {method 'copy' of 'dict' objects}
  6294657    0.763    0.000    0.763    0.000 {method 'get' of 'dict' objects}
  1443930    0.758    0.000    0.843    0.000 union_find.py:53(__getitem__)
        1    0.680    0.680  434.117  434.117 GerrymanderingMCMC.py:345(generate_alternative_plans)
   633141    0.641    0.000    4.596    0.000 reportviews.py:1025(__iter__)
      563    0.550    0.001   16.277    0.029 GerrymanderingMCMC.py:269(__random_spanning_tree)
   441988    0.531    0.000  209.333    0.000 GerrymanderingMCMC.py:168(__district_size)
  6766867    0.519    0.000    0.519    0.000 {method 'items' of 'dict' objects}
   222648    0.512    0.000   11.751    0.000 graph.py:1628(subgraph)
6436321/6434221    0.502    0.000    0.586    0.000 {built-in method builtins.len}
   223562    0.488    0.000    0.541    0.000 graph.py:300(__init__)
   522081    0.451    0.000    5.341    0.000 mst.py:169(filter_nan_edges)
  1151034    0.448    0.000    0.448    0.000 coreviews.py:262(__init__)
      751    0.408    0.001    0.408    0.001 {method 'close' of '_io.TextIOWrapper' objects}
   235892    0.404    0.000    0.501    0.000 graph.py:830(add_edge)
   521518    0.373    0.000    1.928    0.000 reportviews.py:928(__getitem__)
   701135    0.350    0.000    0.464    0.000 graph.py:349(adj)
  4693662    0.344    0.000    0.344    0.000 filters.py:24(no_filter)
   286951    0.312    0.000    0.312    0.000 graph.py:416(__contains__)
   222648    0.308    0.000    0.308    0.000 function.py:147(freeze)
   523457    0.300    0.000    0.358    0.000 reportviews.py:906(__init__)
   201010    0.285    0.000    7.101    0.000 mst.py:123(kruskal_mst_edges)
  1450423    0.272    0.000    1.645    0.000 coreviews.py:267(<genexpr>)
  2573607    0.268    0.000    0.268    0.000 {built-in method builtins.id}
   271488    0.248    0.000    0.248    0.000 encoder.py:223(floatstr)
   111362    0.248    0.000    0.294    0.000 decorators.py:64(_not_implemented_for)
   933100    0.230    0.000    0.496    0.000 graph.py:1513(<genexpr>)
  2427518    0.199    0.000    0.199    0.000 reportviews.py:655(<lambda>)
   523457    0.197    0.000    0.555    0.000 graph.py:1242(edges)
      563    0.191    0.000    5.532    0.010 {built-in method builtins.sorted}
   200447    0.175    0.000    0.623    0.000 union_find.py:101(union)
   222648    0.170    0.000    0.475    0.000 graph.py:1827(nbunch_iter)
   204484    0.170    0.000    1.815    0.000 {built-in method builtins.sum}
   448755    0.157    0.000    1.121    0.000 reportviews.py:174(__iter__)
   222648    0.137    0.000    0.137    0.000 coreviews.py:303(__init__)
   407994    0.133    0.000    0.133    0.000 coreviews.py:317(<genexpr>)
   204484    0.128    0.000    2.119    0.000 coreviews.py:266(__len__)
   200447    0.124    0.000    0.175    0.000 {built-in method builtins.max}
   746105    0.114    0.000    0.114    0.000 {built-in method builtins.hasattr}
   110799    0.109    0.000    0.109    0.000 graph.py:987(remove_edge)
   110799    0.089    0.000    0.379    0.000 decorator.py:decorator-gen-174>:1(connected_components)
  1162186    0.089    0.000    0.089    0.000 {method 'append' of 'list' objects}
   200447    0.085    0.000    0.272    0.000 union_find.py:103(<listcomp>)
   441988    0.072    0.000    0.072    0.000 reportviews.py:189(__call__)
   205123    0.070    0.000    0.104    0.000 _collections_abc.py:676(items)
        1    0.067    0.067    0.072    0.072 adjacency.py:15(adjacency_data)
      302    0.059    0.000    0.428    0.001 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
   521518    0.053    0.000    0.053    0.000 {method 'random' of '_random.Random' objects}
   521518    0.053    0.000    0.053    0.000 {built-in method math.isnan}
   400894    0.051    0.000    0.051    0.000 union_find.py:105(<lambda>)
      350    0.050    0.000    0.214    0.001 boundary.py:100(node_boundary)
   445623    0.045    0.000    0.045    0.000 graph.py:1428(is_directed)
   446749    0.045    0.000    0.045    0.000 graph.py:1424(is_multigraph)
   111049    0.043    0.000    0.064    0.000 graph.py:398(__iter__)
      563    0.041    0.000    8.744    0.016 mst.py:552(maximum_spanning_tree)
   205123    0.033    0.000    0.033    0.000 _collections_abc.py:698(__init__)
   220994    0.029    0.000    0.029    0.000 {built-in method builtins.abs}
    64303    0.027    0.000    0.087    0.000 graph.py:451(__getitem__)
      754    0.022    0.000    0.024    0.000 encoder.py:204(iterencode)
        1    0.021    0.021    0.172    0.172 GerrymanderingMCMC.py:53(read_graph)
     1500    0.018    0.000    0.021    0.000 BWP.py:16(append)
      350    0.018    0.000    0.039    0.000 boundary.py:137(<setcomp>)
     2100    0.017    0.000    0.021    0.000 {built-in method _abc._abc_instancecheck}
    64653    0.017    0.000    0.104    0.000 boundary.py:138(<genexpr>)
     1507    0.015    0.000    0.015    0.000 {built-in method posix.stat}
      758    0.014    0.000    0.014    0.000 {built-in method posix.mkdir}
     1050    0.014    0.000    0.086    0.000 random.py:286(sample)
      350    0.011    0.000    0.027    0.000 GerrymanderingMCMC.py:149(<listcomp>)
        1    0.011    0.011    0.011    0.011 decoder.py:343(raw_decode)
     4200    0.009    0.000   11.408    0.003 GerrymanderingMCMC.py:153(__get_district_nodes)
    21000    0.008    0.000    0.008    0.000 {built-in method _bisect.insort_right}
      250    0.005    0.000    0.294    0.001 RDS.py:56(save)
     3500    0.005    0.000    0.005    0.000 RDS.py:11(append)
  758/753    0.005    0.000    0.040    0.000 os.py:198(makedirs)
      753    0.005    0.000    0.008    0.000 posixpath.py:154(dirname)
      250    0.004    0.000    0.446    0.002 MMD.py:14(save)
      250    0.004    0.000    4.886    0.020 node_link.py:20(node_link_data)
      350    0.004    0.000    1.213    0.003 GerrymanderingMCMC.py:143(__find_neighboring_district)
        1    0.004    0.004    0.004    0.004 {method 'read' of '_io.TextIOWrapper' objects}
