4 

         3813153206 function calls (3779125891 primitive calls) in 1267.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
290650300  168.347    0.000  598.802    0.000 GerrymanderingMCMC.py:173(<lambda>)
293987483  167.132    0.000  204.582    0.000 coreviews.py:278(__getitem__)
297668211  112.740    0.000  156.678    0.000 graph.py:666(nodes)
146506969  101.736    0.000  288.392    0.000 connected.py:185(_plain_bfs)
166506551   80.054    0.000  116.995    0.000 coreviews.py:276(<genexpr>)
297344959   78.099    0.000  278.608    0.000 reportviews.py:177(__getitem__)
   670092   69.531    0.000  812.360    0.001 {built-in method _functools.reduce}
554656194   68.606    0.000   68.606    0.000 filters.py:58(__call__)
146506969   60.256    0.000  105.240    0.000 {method 'update' of 'set' objects}
146005561   54.561    0.000   70.769    0.000 coreviews.py:80(__getitem__)
297668211   43.938    0.000   43.938    0.000 reportviews.py:167(__init__)
133464727   32.752    0.000   32.752    0.000 coreviews.py:275(<genexpr>)
146005561   29.342    0.000   45.030    0.000 coreviews.py:50(__iter__)
   817983   23.604    0.000  314.455    0.000 connected.py:26(connected_components)
146478862   16.996    0.000   16.996    0.000 graph.py:1872(bunch_iter)
146804571   16.368    0.000   16.368    0.000 coreviews.py:44(__init__)
146847705   16.027    0.000   17.318    0.000 {built-in method builtins.iter}
68064458/34039246   13.442    0.000   24.591    0.000 encoder.py:333(_iterencode_dict)
145858874   12.516    0.000   12.516    0.000 {method 'add' of 'set' objects}
   336598   11.821    0.000   28.818    0.000 filters.py:55(__init__)
      753    8.235    0.011   42.844    0.057 __init__.py:120(dump)
 34025596    6.407    0.000   19.523    0.000 encoder.py:277(_iterencode_list)
      775    5.513    0.007    9.130    0.012 graph.py:894(add_edges_from)
  9208173    5.416    0.000    7.399    0.000 coreviews.py:322(new_node_ok)
 34038494    5.329    0.000    5.329    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 34039246    4.681    0.000   29.273    0.000 encoder.py:413(_iterencode)
      350    3.738    0.011 1213.969    3.468 GerrymanderingMCMC.py:210(recombination_of_districts)
   167523    3.442    0.000 1166.612    0.007 GerrymanderingMCMC.py:176(__is_valid_district_plan)
 28342654    2.500    0.000    2.510    0.000 {built-in method builtins.isinstance}
  1726070    2.114    0.000    2.320    0.000 coreviews.py:269(__iter__)
      775    1.935    0.002    3.752    0.005 graph.py:523(add_nodes_from)
 10625857    1.907    0.000    1.907    0.000 {method 'update' of 'dict' objects}
  3395387    1.752    0.000    9.210    0.000 _collections_abc.py:742(__iter__)
  1697056    1.741    0.000    2.498    0.000 coreviews.py:320(__getitem__)
  2300497    1.624    0.000    9.607    0.000 reportviews.py:717(__iter__)
   336598    1.543    0.000    3.422    0.000 graphviews.py:80(subgraph_view)
  2689722    1.472    0.000    1.638    0.000 union_find.py:53(__getitem__)
  3652950    1.459    0.000    1.880    0.000 graph.py:1514(<genexpr>)
      250    1.403    0.006    2.261    0.009 node_link.py:98(<listcomp>)
      250    1.379    0.006   52.405    0.210 GerrymanderingMCMC.py:365(perform_calculations)
 11567189    1.343    0.000    1.343    0.000 {built-in method _json.encode_basestring_ascii}
  1163695    1.182    0.000    8.362    0.000 reportviews.py:1025(__iter__)
     1700    1.177    0.001    2.979    0.002 GerrymanderingMCMC.py:158(<listcomp>)
      755    1.043    0.001    1.050    0.001 {built-in method io.open}
      425    0.983    0.002   30.040    0.071 GerrymanderingMCMC.py:269(__random_spanning_tree)
   670092    0.849    0.000  813.821    0.001 GerrymanderingMCMC.py:168(__district_size)
   336598    0.849    0.000   34.046    0.000 graph.py:1628(subgraph)
      250    0.816    0.003    1.141    0.005 node_link.py:90(<listcomp>)
   995747    0.784    0.000    9.901    0.000 mst.py:169(filter_nan_edges)
   337374    0.774    0.000    0.858    0.000 graph.py:300(__init__)
  2033654    0.753    0.000    0.753    0.000 coreviews.py:262(__init__)
  5342593    0.731    0.000    0.731    0.000 {method 'get' of 'dict' objects}
   345132    0.693    0.000    0.860    0.000 graph.py:830(add_edge)
   995322    0.691    0.000    3.595    0.000 reportviews.py:928(__getitem__)
  8957898    0.676    0.000    0.676    0.000 filters.py:24(no_filter)
  5238267    0.595    0.000    0.595    0.000 {method 'copy' of 'dict' objects}
   485399    0.576    0.000    0.576    0.000 graph.py:416(__contains__)
   996847    0.565    0.000    0.682    0.000 reportviews.py:906(__init__)
   349964    0.564    0.000   13.237    0.000 mst.py:123(kruskal_mst_edges)
   620897    0.554    0.000    0.554    0.000 encoder.py:223(floatstr)
        1    0.527    0.527 1266.946 1266.946 GerrymanderingMCMC.py:345(generate_alternative_plans)
  2797556    0.515    0.000    3.031    0.000 coreviews.py:267(<genexpr>)
   336598    0.491    0.000    0.491    0.000 function.py:147(freeze)
5356385/5354285    0.474    0.000    0.655    0.000 {built-in method builtins.len}
   168199    0.469    0.000    0.546    0.000 decorators.py:64(_not_implemented_for)
   799010    0.458    0.000    0.617    0.000 graph.py:349(adj)
   996847    0.367    0.000    1.050    0.000 graph.py:1242(edges)
      425    0.357    0.001   10.258    0.024 {built-in method builtins.sorted}
